Sensitivity,Specificity,Batch,Compare_group,DataQual
0.921545667447307,0.963388920835729,P_BGI_L3_B1,D6/D5,HighQual
0.894613583138173,0.950546290971823,P_BGI_L6_B1,D6/D5,HighQual
0.934426229508197,0.987157370136094,R_BGI_L3_B1,D6/D5,HighQual
0.916861826697892,0.981023576768258,R_BGI_L6_B1,D6/D5,HighQual
0.765807962529274,0.978148361127085,R_BGI_L7_B1,D6/D5,HighQual
0.908665105386417,0.97048111941729,P_ILM_L1_B1,D6/D5,HighQual
0.864168618266979,0.959555299980832,P_ILM_L2_B1,D6/D5,LowQual
0.765807962529274,0.944987540732222,P_ILM_L5_B1,D6/D5,LowQual
0.831381733021077,0.941920644048304,P_ILM_L6_B1,D6/D5,HighQual
0.941451990632319,0.967414222733372,P_ILM_L8_B1,D6/D5,HighQual
0.908665105386417,0.983707111366686,R_ILM_L1_B1,D6/D5,HighQual
0.743559718969555,0.9551466359977,R_ILM_L2_B1,D6/D5,LowQual
0.901639344262295,0.981598619896492,R_ILM_L2_B2,D6/D5,HighQual
0.761124121779859,0.96262219666475,R_ILM_L4_B1,D6/D5,LowQual
0.885245901639344,0.97680659382787,R_ILM_L4_B2,D6/D5,HighQual
0.840749414519906,0.976039869656891,R_ILM_L4_B3,D6/D5,HighQual
0.796252927400468,0.964730688134943,R_ILM_L5_B1,D6/D5,LowQual
0.775175644028103,0.956296722254169,R_ILM_L5_B2,D6/D5,HighQual
0.647540983606557,0.933294997124784,R_ILM_L5_B3,D6/D5,LowQual
0.848946135831382,0.973931378186697,R_ILM_L6_B1,D6/D5,HighQual
0.88056206088993,0.982940387195706,R_ILM_L8_B1,D6/D5,HighQual
0.904981549815498,0.959944270289098,P_BGI_L3_B1,F7/D5,HighQual
0.896678966789668,0.940264716126785,P_BGI_L6_B1,F7/D5,HighQual
0.91789667896679,0.97979797979798,R_BGI_L3_B1,F7/D5,HighQual
0.892066420664207,0.971786833855799,R_BGI_L6_B1,F7/D5,HighQual
0.798892988929889,0.977011494252874,R_BGI_L7_B1,F7/D5,HighQual
0.920664206642066,0.961163357715082,P_ILM_L1_B1,F7/D5,HighQual
0.865313653136531,0.947927551375827,P_ILM_L2_B1,F7/D5,LowQual
0.724169741697417,0.926506443747823,P_ILM_L5_B1,F7/D5,LowQual
0.85239852398524,0.9272030651341,P_ILM_L6_B1,F7/D5,HighQual
0.912361623616236,0.963775687913619,P_ILM_L8_B1,F7/D5,HighQual
0.908671586715867,0.981365377917102,R_ILM_L1_B1,F7/D5,HighQual
0.754612546125461,0.94932079414838,R_ILM_L2_B1,F7/D5,LowQual
0.896678966789668,0.981191222570533,R_ILM_L2_B2,F7/D5,HighQual
0.734317343173432,0.944966910484152,R_ILM_L4_B1,F7/D5,LowQual
0.909594095940959,0.975444096133751,R_ILM_L4_B2,F7/D5,HighQual
0.859778597785978,0.968303726924417,R_ILM_L4_B3,F7/D5,HighQual
0.785055350553506,0.962208289794497,R_ILM_L5_B1,F7/D5,LowQual
0.77859778597786,0.953326367119471,R_ILM_L5_B2,F7/D5,HighQual
0.652214022140221,0.923894113549286,R_ILM_L5_B3,F7/D5,LowQual
0.86070110701107,0.965865552072449,R_ILM_L6_B1,F7/D5,HighQual
0.898523985239852,0.978404737025427,R_ILM_L8_B1,F7/D5,HighQual
0.927332782824112,0.954947438678458,P_BGI_L3_B1,M8/D5,HighQual
0.898431048720066,0.935090939429334,P_BGI_L6_B1,M8/D5,HighQual
0.91494632535095,0.981478391456699,R_BGI_L3_B1,M8/D5,HighQual
0.892650701899257,0.979476055397964,R_BGI_L6_B1,M8/D5,HighQual
0.777043765483072,0.970799265810112,R_BGI_L7_B1,M8/D5,HighQual
0.919075144508671,0.951610211913899,P_ILM_L1_B1,M8/D5,HighQual
0.884393063583815,0.946270649090606,P_ILM_L2_B1,M8/D5,LowQual
0.73327828241123,0.922743200400467,P_ILM_L5_B1,M8/D5,LowQual
0.85383980181668,0.919239112297681,P_ILM_L6_B1,M8/D5,HighQual
0.919075144508671,0.955948606707826,P_ILM_L8_B1,M8/D5,HighQual
0.901734104046243,0.97897547138328,R_ILM_L1_B1,M8/D5,HighQual
0.764657308009909,0.943767729017187,R_ILM_L2_B1,M8/D5,LowQual
0.904211395540875,0.978641748706825,R_ILM_L2_B2,M8/D5,HighQual
0.780346820809249,0.956949774737193,R_ILM_L4_B1,M8/D5,LowQual
0.911643270024773,0.974470215251126,R_ILM_L4_B2,M8/D5,HighQual
0.868703550784476,0.972134156515935,R_ILM_L4_B3,M8/D5,HighQual
0.785301403798514,0.948106123811113,R_ILM_L5_B1,M8/D5,LowQual
0.797687861271676,0.953111963957951,R_ILM_L5_B2,M8/D5,HighQual
0.664739884393064,0.922910061738695,R_ILM_L5_B3,M8/D5,LowQual
0.871180842279108,0.968129484398465,R_ILM_L6_B1,M8/D5,HighQual
0.897605284888522,0.979476055397964,R_ILM_L8_B1,M8/D5,HighQual
0.911149825783972,0.961186113789778,P_BGI_L3_B1,F7/D6,HighQual
0.942508710801394,0.971552555448409,P_BGI_L6_B1,F7/D6,HighQual
0.897212543554007,0.979026036644166,R_BGI_L3_B1,F7/D6,HighQual
0.890243902439024,0.98625843780135,R_BGI_L6_B1,F7/D6,HighQual
0.79616724738676,0.974927675988428,R_BGI_L7_B1,F7/D6,HighQual
0.928571428571429,0.97082931533269,P_ILM_L1_B1,F7/D6,HighQual
0.843205574912892,0.955882352941177,P_ILM_L2_B1,F7/D6,LowQual
0.689895470383275,0.922854387656702,P_ILM_L5_B1,F7/D6,LowQual
