batch_pairs,consistent,batch.x,pairs.x,corr,batch.y,pairs.y,DataQual,seq_pro
P_BGI_L3_B1 D6/D5,0.975138121546961,P_BGI_L3_B1,D6/D5,0.982240230713544,P_BGI_L3_B1,D6/D5,HighQual,P_BGI
P_BGI_L3_B1 F7/D5,0.978207533554626,P_BGI_L3_B1,F7/D5,0.980307460600626,P_BGI_L3_B1,F7/D5,HighQual,P_BGI
P_BGI_L3_B1 F7/D6,0.968887032783462,P_BGI_L3_B1,F7/D6,0.980099173743114,P_BGI_L3_B1,F7/D6,HighQual,P_BGI
P_BGI_L3_B1 M8/D5,0.976083094164275,P_BGI_L3_B1,M8/D5,0.979802855956997,P_BGI_L3_B1,M8/D5,HighQual,P_BGI
P_BGI_L3_B1 M8/D6,0.947007930785869,P_BGI_L3_B1,M8/D6,0.976419393803863,P_BGI_L3_B1,M8/D6,HighQual,P_BGI
P_BGI_L3_B1 M8/F7,0.905221518987342,P_BGI_L3_B1,M8/F7,0.976958229047901,P_BGI_L3_B1,M8/F7,HighQual,P_BGI
P_BGI_L6_B1 D6/D5,0.907260029235017,P_BGI_L6_B1,D6/D5,0.975183530026218,P_BGI_L6_B1,D6/D5,HighQual,P_BGI
P_BGI_L6_B1 F7/D5,0.897376765638513,P_BGI_L6_B1,F7/D5,0.968930430913435,P_BGI_L6_B1,F7/D5,HighQual,P_BGI
P_BGI_L6_B1 F7/D6,0.980733374766936,P_BGI_L6_B1,F7/D6,0.980700619432583,P_BGI_L6_B1,F7/D6,HighQual,P_BGI
P_BGI_L6_B1 M8/D5,0.910651048760556,P_BGI_L6_B1,M8/D5,0.971910378271035,P_BGI_L6_B1,M8/D5,HighQual,P_BGI
P_BGI_L6_B1 M8/D6,0.979148101942613,P_BGI_L6_B1,M8/D6,0.983574706577836,P_BGI_L6_B1,M8/D6,HighQual,P_BGI
P_BGI_L6_B1 M8/F7,0.985974754558205,P_BGI_L6_B1,M8/F7,0.981239771817005,P_BGI_L6_B1,M8/F7,HighQual,P_BGI
P_ILM_L1_B1 D6/D5,0.984949020877165,P_ILM_L1_B1,D6/D5,0.984774378984451,P_ILM_L1_B1,D6/D5,HighQual,P_ILM
P_ILM_L1_B1 F7/D5,0.982358003442341,P_ILM_L1_B1,F7/D5,0.980384070009746,P_ILM_L1_B1,F7/D5,HighQual,P_ILM
P_ILM_L1_B1 F7/D6,0.979735318444996,P_ILM_L1_B1,F7/D6,0.981838757269363,P_ILM_L1_B1,F7/D6,HighQual,P_ILM
P_ILM_L1_B1 M8/D5,0.983301656258485,P_ILM_L1_B1,M8/D5,0.981565283876227,P_ILM_L1_B1,M8/D5,HighQual,P_ILM
P_ILM_L1_B1 M8/D6,0.979599141016464,P_ILM_L1_B1,M8/D6,0.983148983734285,P_ILM_L1_B1,M8/D6,HighQual,P_ILM
P_ILM_L1_B1 M8/F7,0.978962131837307,P_ILM_L1_B1,M8/F7,0.983242842138661,P_ILM_L1_B1,M8/F7,HighQual,P_ILM
P_ILM_L2_B1 D6/D5,0.908629441624365,P_ILM_L2_B1,D6/D5,0.97793547537581,P_ILM_L2_B1,D6/D5,LowQual,P_ILM
P_ILM_L2_B1 F7/D5,0.944573756182717,P_ILM_L2_B1,F7/D5,0.974226873824925,P_ILM_L2_B1,F7/D5,LowQual,P_ILM
P_ILM_L2_B1 F7/D6,0.84283610351357,P_ILM_L2_B1,F7/D6,0.969744735493407,P_ILM_L2_B1,F7/D6,LowQual,P_ILM
P_ILM_L2_B1 M8/D5,0.952939552856749,P_ILM_L2_B1,M8/D5,0.97863148559479,P_ILM_L2_B1,M8/D5,LowQual,P_ILM
P_ILM_L2_B1 M8/D6,0.893725063474791,P_ILM_L2_B1,M8/D6,0.974965950211267,P_ILM_L2_B1,M8/D6,LowQual,P_ILM
P_ILM_L2_B1 M8/F7,0.924797715373632,P_ILM_L2_B1,M8/F7,0.974546504863384,P_ILM_L2_B1,M8/F7,LowQual,P_ILM
P_ILM_L5_B1 D6/D5,0.867278797996661,P_ILM_L5_B1,D6/D5,0.96180418989494,P_ILM_L5_B1,D6/D5,LowQual,P_ILM
P_ILM_L5_B1 F7/D5,0.859365558912387,P_ILM_L5_B1,F7/D5,0.957116030602964,P_ILM_L5_B1,F7/D5,LowQual,P_ILM
P_ILM_L5_B1 F7/D6,0.791730811524082,P_ILM_L5_B1,F7/D6,0.946983774529791,P_ILM_L5_B1,F7/D6,LowQual,P_ILM
P_ILM_L5_B1 M8/D5,0.798814898419865,P_ILM_L5_B1,M8/D5,0.953175390827726,P_ILM_L5_B1,M8/D5,LowQual,P_ILM
P_ILM_L5_B1 M8/D6,0.714685054043981,P_ILM_L5_B1,M8/D6,0.943213803667414,P_ILM_L5_B1,M8/D6,LowQual,P_ILM
P_ILM_L5_B1 M8/F7,0.724137931034483,P_ILM_L5_B1,M8/F7,0.948191106779687,P_ILM_L5_B1,M8/F7,LowQual,P_ILM
P_ILM_L6_B1 D6/D5,0.865381446696326,P_ILM_L6_B1,D6/D5,0.970395299263312,P_ILM_L6_B1,D6/D5,HighQual,P_ILM
