gene,DEGtype,compare_group,checkout
ENSG00000004399,Down_regulated,D6/D5,deg
ENSG00000008256,Down_regulated,D6/D5,deg
ENSG00000008405,Down_regulated,D6/D5,deg
ENSG00000011028,Down_regulated,D6/D5,deg
ENSG00000021645,Down_regulated,D6/D5,deg
ENSG00000023171,Down_regulated,D6/D5,deg
ENSG00000027869,Down_regulated,D6/D5,deg
ENSG00000036828,Down_regulated,D6/D5,deg
ENSG00000054179,Down_regulated,D6/D5,deg
ENSG00000060762,Down_regulated,D6/D5,deg
ENSG00000066032,Down_regulated,D6/D5,deg
ENSG00000067606,Down_regulated,D6/D5,deg
ENSG00000069702,Down_regulated,D6/D5,deg
ENSG00000071575,Down_regulated,D6/D5,deg
ENSG00000072110,Down_regulated,D6/D5,deg
ENSG00000073008,Down_regulated,D6/D5,deg
ENSG00000075275,Down_regulated,D6/D5,deg
ENSG00000076864,Down_regulated,D6/D5,deg
ENSG00000077009,Down_regulated,D6/D5,deg
ENSG00000080200,Down_regulated,D6/D5,deg
ENSG00000080823,Down_regulated,D6/D5,deg
ENSG00000082781,Down_regulated,D6/D5,deg
ENSG00000084710,Down_regulated,D6/D5,deg
ENSG00000088387,Down_regulated,D6/D5,deg
ENSG00000088854,Down_regulated,D6/D5,deg
ENSG00000088992,Down_regulated,D6/D5,deg
ENSG00000090932,Down_regulated,D6/D5,deg
ENSG00000093217,Down_regulated,D6/D5,deg
ENSG00000095203,Down_regulated,D6/D5,deg
ENSG00000095637,Down_regulated,D6/D5,deg
ENSG00000099625,Down_regulated,D6/D5,deg
ENSG00000099814,Down_regulated,D6/D5,deg
ENSG00000100304,Down_regulated,D6/D5,deg
ENSG00000101187,Down_regulated,D6/D5,deg
ENSG00000101197,Down_regulated,D6/D5,deg
ENSG00000101307,Down_regulated,D6/D5,deg
ENSG00000101336,Down_regulated,D6/D5,deg
ENSG00000102221,Down_regulated,D6/D5,deg
ENSG00000103187,Down_regulated,D6/D5,deg
ENSG00000105409,Down_regulated,D6/D5,deg
ENSG00000105825,Down_regulated,D6/D5,deg
ENSG00000106327,Down_regulated,D6/D5,deg
ENSG00000106689,Down_regulated,D6/D5,deg
ENSG00000106789,Down_regulated,D6/D5,deg
ENSG00000107281,Down_regulated,D6/D5,deg
ENSG00000107719,Down_regulated,D6/D5,deg
ENSG00000108379,Down_regulated,D6/D5,deg
ENSG00000109944,Down_regulated,D6/D5,deg
ENSG00000110042,Down_regulated,D6/D5,deg
ENSG00000110427,Down_regulated,D6/D5,deg
ENSG00000110492,Down_regulated,D6/D5,deg
ENSG00000110841,Down_regulated,D6/D5,deg
ENSG00000111110,Down_regulated,D6/D5,deg
ENSG00000111962,Down_regulated,D6/D5,deg
ENSG00000111981,Down_regulated,D6/D5,deg
ENSG00000112290,Down_regulated,D6/D5,deg
ENSG00000113504,Down_regulated,D6/D5,deg
ENSG00000113645,Down_regulated,D6/D5,deg
ENSG00000114251,Down_regulated,D6/D5,deg
ENSG00000114405,Down_regulated,D6/D5,deg
ENSG00000114631,Down_regulated,D6/D5,deg
ENSG00000114739,Down_regulated,D6/D5,deg
ENSG00000115183,Down_regulated,D6/D5,deg
ENSG00000115604,Down_regulated,D6/D5,deg
ENSG00000117308,Down_regulated,D6/D5,deg
ENSG00000117322,Down_regulated,D6/D5,deg
ENSG00000119946,Down_regulated,D6/D5,deg
ENSG00000120256,Down_regulated,D6/D5,deg
ENSG00000121900,Down_regulated,D6/D5,deg
ENSG00000124429,Down_regulated,D6/D5,deg
ENSG00000124785,Down_regulated,D6/D5,deg
ENSG00000127863,Down_regulated,D6/D5,deg
ENSG00000128283,Down_regulated,D6/D5,deg
ENSG00000128791,Down_regulated,D6/D5,deg
ENSG00000130294,Down_regulated,D6/D5,deg
ENSG00000130702,Down_regulated,D6/D5,deg
ENSG00000131015,Down_regulated,D6/D5,deg
ENSG00000131016,Down_regulated,D6/D5,deg
ENSG00000132481,Down_regulated,D6/D5,deg
ENSG00000133065,Down_regulated,D6/D5,deg
ENSG00000133116,Down_regulated,D6/D5,deg
ENSG00000133138,Down_regulated,D6/D5,deg
ENSG00000133328,Down_regulated,D6/D5,deg
ENSG00000133561,Down_regulated,D6/D5,deg
ENSG00000135077,Down_regulated,D6/D5,deg
ENSG00000136235,Down_regulated,D6/D5,deg
ENSG00000136261,Down_regulated,D6/D5,deg
ENSG00000136379,Down_regulated,D6/D5,deg
ENSG00000136895,Down_regulated,D6/D5,deg
ENSG00000138083,Down_regulated,D6/D5,deg
ENSG00000138411,Down_regulated,D6/D5,deg
ENSG00000138771,Down_regulated,D6/D5,deg
ENSG00000140090,Down_regulated,D6/D5,deg
ENSG00000140443,Down_regulated,D6/D5,deg
ENSG00000141198,Down_regulated,D6/D5,deg
ENSG00000141570,Down_regulated,D6/D5,deg
ENSG00000142185,Down_regulated,D6/D5,deg
ENSG00000142197,Down_regulated,D6/D5,deg
ENSG00000142733,Down_regulated,D6/D5,deg
ENSG00000143226,Down_regulated,D6/D5,deg
ENSG00000144935,Down_regulated,D6/D5,deg
ENSG00000145391,Down_regulated,D6/D5,deg
ENSG00000146054,Down_regulated,D6/D5,deg
ENSG00000146281,Down_regulated,D6/D5,deg
ENSG00000146426,Down_regulated,D6/D5,deg
ENSG00000146592,Down_regulated,D6/D5,deg
ENSG00000147180,Down_regulated,D6/D5,deg
ENSG00000147642,Down_regulated,D6/D5,deg
ENSG00000149150,Down_regulated,D6/D5,deg
ENSG00000149177,Down_regulated,D6/D5,deg
ENSG00000149328,Down_regulated,D6/D5,deg
ENSG00000149418,Down_regulated,D6/D5,deg
ENSG00000150556,Down_regulated,D6/D5,deg
ENSG00000151208,Down_regulated,D6/D5,deg
ENSG00000151364,Down_regulated,D6/D5,deg
ENSG00000152127,Down_regulated,D6/D5,deg
ENSG00000152413,Down_regulated,D6/D5,deg
ENSG00000153132,Down_regulated,D6/D5,deg
ENSG00000154102,Down_regulated,D6/D5,deg
ENSG00000154277,Down_regulated,D6/D5,deg
ENSG00000154319,Down_regulated,D6/D5,deg
ENSG00000154874,Down_regulated,D6/D5,deg
ENSG00000155254,Down_regulated,D6/D5,deg
ENSG00000157107,Down_regulated,D6/D5,deg
ENSG00000157557,Down_regulated,D6/D5,deg
ENSG00000157827,Down_regulated,D6/D5,deg
ENSG00000158106,Down_regulated,D6/D5,deg
ENSG00000158158,Down_regulated,D6/D5,deg
ENSG00000158748,Down_regulated,D6/D5,deg
ENSG00000159212,Down_regulated,D6/D5,deg
ENSG00000160062,Down_regulated,D6/D5,deg
ENSG00000160094,Down_regulated,D6/D5,deg
ENSG00000160117,Down_regulated,D6/D5,deg
ENSG00000160321,Down_regulated,D6/D5,deg
ENSG00000161249,Down_regulated,D6/D5,deg
ENSG00000162614,Down_regulated,D6/D5,deg
ENSG00000163040,Down_regulated,D6/D5,deg
ENSG00000163219,Down_regulated,D6/D5,deg
ENSG00000163884,Down_regulated,D6/D5,deg
ENSG00000164181,Down_regulated,D6/D5,deg
ENSG00000164687,Down_regulated,D6/D5,deg
ENSG00000164746,Down_regulated,D6/D5,deg
ENSG00000164983,Down_regulated,D6/D5,deg
ENSG00000164989,Down_regulated,D6/D5,deg
ENSG00000166104,Down_regulated,D6/D5,deg
ENSG00000166681,Down_regulated,D6/D5,deg
ENSG00000166927,Down_regulated,D6/D5,deg
ENSG00000167549,Down_regulated,D6/D5,deg
ENSG00000167771,Down_regulated,D6/D5,deg
ENSG00000168246,Down_regulated,D6/D5,deg
ENSG00000168994,Down_regulated,D6/D5,deg
ENSG00000169031,Down_regulated,D6/D5,deg
ENSG00000169508,Down_regulated,D6/D5,deg
ENSG00000169750,Down_regulated,D6/D5,deg
ENSG00000170128,Down_regulated,D6/D5,deg
ENSG00000170264,Down_regulated,D6/D5,deg
ENSG00000170989,Down_regulated,D6/D5,deg
ENSG00000171757,Down_regulated,D6/D5,deg
ENSG00000172059,Down_regulated,D6/D5,deg
ENSG00000173621,Down_regulated,D6/D5,deg
ENSG00000173894,Down_regulated,D6/D5,deg
ENSG00000174292,Down_regulated,D6/D5,deg
ENSG00000174607,Down_regulated,D6/D5,deg
ENSG00000176490,Down_regulated,D6/D5,deg
ENSG00000176749,Down_regulated,D6/D5,deg
ENSG00000176834,Down_regulated,D6/D5,deg
ENSG00000176845,Down_regulated,D6/D5,deg
ENSG00000177303,Down_regulated,D6/D5,deg
ENSG00000177791,Down_regulated,D6/D5,deg
ENSG00000178773,Down_regulated,D6/D5,deg
ENSG00000179241,Down_regulated,D6/D5,deg
ENSG00000179388,Down_regulated,D6/D5,deg
ENSG00000179431,Down_regulated,D6/D5,deg
ENSG00000181418,Down_regulated,D6/D5,deg
ENSG00000181754,Down_regulated,D6/D5,deg
ENSG00000182378,Down_regulated,D6/D5,deg
ENSG00000183688,Down_regulated,D6/D5,deg
ENSG00000183780,Down_regulated,D6/D5,deg
ENSG00000184292,Down_regulated,D6/D5,deg
ENSG00000184349,Down_regulated,D6/D5,deg
ENSG00000185561,Down_regulated,D6/D5,deg
ENSG00000185818,Down_regulated,D6/D5,deg
ENSG00000185909,Down_regulated,D6/D5,deg
ENSG00000186462,Down_regulated,D6/D5,deg
ENSG00000186522,Down_regulated,D6/D5,deg
ENSG00000186603,Down_regulated,D6/D5,deg
ENSG00000186716,Down_regulated,D6/D5,deg
ENSG00000187922,Down_regulated,D6/D5,deg
ENSG00000187942,Down_regulated,D6/D5,deg
ENSG00000188064,Down_regulated,D6/D5,deg
ENSG00000188290,Down_regulated,D6/D5,deg
ENSG00000188389,Down_regulated,D6/D5,deg
ENSG00000188404,Down_regulated,D6/D5,deg
