GENE_ID,D5-1_S1_L001_R1_001.fastq.gz,D5-2_S5_L001_R1_001.fastq.gz,D5-3_S9_L001_R1_001.fastq.gz,D6-1_S2_L001_R1_001.fastq.gz,D6-2_S6_L001_R1_001.fastq.gz,D6-3_S10_L001_R1_001.fastq.gz,F7-1_S3_L001_R1_001.fastq.gz,F7-2_S7_L001_R1_001.fastq.gz,F7-3_S11_L001_R1_001.fastq.gz,M8-1_S4_L001_R1_001.fastq.gz,M8-2_S8_L001_R1_001.fastq.gz,M8-3_S12_L001_R1_001.fastq.gz
ENSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,7,9,11,10,3,9,9,10,7,7,4,9
ENSG00000000457,10,13,19,7,12,16,15,7,7,7,22,14
ENSG00000000460,5,9,9,4,0,3,3,5,0,7,10,9
ENSG00000000938,12,34,20,63,58,83,54,73,73,73,29,72
ENSG00000000971,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001036,10,4,7,27,16,29,17,9,24,10,7,8
ENSG00000001084,4,15,10,12,6,17,10,7,4,13,8,3
ENSG00000001167,14,24,13,27,20,33,19,21,15,11,12,9
ENSG00000001460,3,0,2,0,6,9,0,7,0,3,3,5
ENSG00000001461,8,22,15,15,21,22,21,18,9,18,13,7
ENSG00000001497,22,18,19,18,13,26,25,20,22,21,14,7
ENSG00000001561,6,3,10,9,19,21,24,23,15,18,27,20
ENSG00000001617,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001626,0,0,0,0,0,0,0,3,0,0,0,0
ENSG00000001629,55,61,29,68,67,76,64,40,88,79,67,59
ENSG00000001630,11,63,13,61,7,22,45,10,4,15,21,22
ENSG00000001631,22,27,19,10,14,24,40,24,35,28,18,30
ENSG00000002016,4,9,0,12,0,9,6,6,8,0,5,1
ENSG00000002079,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000002330,8,0,15,6,9,8,15,0,15,7,3,5
ENSG00000002549,76,90,75,64,57,78,36,63,47,57,67,76
ENSG00000002586,35,17,9,29,5,19,21,17,10,20,13,25
ENSG00000002587,0,1,0,0,3,3,0,0,0,3,1,0
ENSG00000002726,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,0,0,0,0,0,0,0,0,3,3,3,3
ENSG00000002746,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000002822,18,20,15,22,21,14,10,21,20,21,22,25
ENSG00000002834,75,70,36,91,70,86,73,53,73,115,75,105
ENSG00000002919,17,35,29,32,32,66,78,74,60,34,41,46
ENSG00000002933,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,70,53,62,75,65,100,53,57,55,39,63,61
ENSG00000003096,0,0,0,0,0,0,3,0,0,0,3,3
ENSG00000003137,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003147,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003249,0,0,7,0,0,7,6,3,12,22,12,11
ENSG00000003393,5,14,7,12,3,7,9,13,9,17,9,7
ENSG00000003400,19,17,9,18,9,23,5,15,8,21,8,15
ENSG00000003402,57,77,75,109,111,187,152,190,156,141,69,125
ENSG00000003436,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003509,11,4,14,16,11,8,22,12,7,10,11,3
ENSG00000003756,71,70,74,64,82,99,93,60,86,102,48,55
ENSG00000003987,3,0,0,0,0,11,0,0,3,5,0,1
ENSG00000003989,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004059,14,16,18,22,18,13,22,21,14,15,16,24
ENSG00000004139,21,48,31,24,20,34,48,34,26,20,12,7
ENSG00000004142,37,24,27,46,25,44,40,43,50,32,24,29
ENSG00000004399,3,3,5,3,5,3,0,3,0,0,0,0
ENSG00000004455,79,95,81,66,65,107,90,89,73,58,63,69
ENSG00000004468,38,32,42,101,56,58,32,46,12,94,80,90
ENSG00000004478,54,47,34,38,30,41,40,59,49,30,28,33
ENSG00000004487,37,46,39,25,29,27,42,25,34,27,16,19
ENSG00000004534,42,37,34,55,46,45,48,34,51,42,37,53
ENSG00000004660,3,7,3,3,2,0,3,5,3,3,3,0
ENSG00000004700,23,36,12,33,17,22,26,25,24,20,31,29
