gene,compare,medianP,meanlogFC,DEGtype,Gene_Name,
ENSG00000000457,D5/D6,0.000865,0.488,non-DEG,SCYL3,
ENSG00000000460,D5/D6,0.0385,0.233,non-DEG,C1orf112,
ENSG00000000938,D5/D6,7.67E-09,-1.316,down-regulate,FGR,
ENSG00000001036,D5/D6,7.87E-05,-0.418,non-DEG,FUCA2,
ENSG00000001084,D5/D6,0.00663,0.246,non-DEG,GCLC,
ENSG00000001167,D5/D6,0.00105,0.234,non-DEG,NFYA,
ENSG00000001460,D5/D6,0.0627,-0.21,non-DEG,STPG1,
ENSG00000001461,D5/D6,0.0702,0.099,non-DEG,NIPAL3,
ENSG00000001497,D5/D6,0.000473,0.367,non-DEG,LAS1L,
ENSG00000001561,D5/D6,0.000171,-0.406,non-DEG,ENPP4,
ENSG00000001629,D5/D6,0.0215,-0.114,non-DEG,ANKIB1,
ENSG00000001630,D5/D6,0.0304,0.104,non-DEG,CYP51A1,
ENSG00000001631,D5/D6,0.0367,-0.106,non-DEG,KRIT1,
ENSG00000002016,D5/D6,0.0652,0.159,non-DEG,RAD52,
ENSG00000002330,D5/D6,0.0456,-0.229,non-DEG,BAD,
ENSG00000002549,D5/D6,0.0014,0.181,non-DEG,LAP3,
ENSG00000002586,D5/D6,0.000257,0.548,non-DEG,CD99,
ENSG00000002587,D5/D6,0.0871,-0.052,non-DEG,HS3ST1,
ENSG00000002745,D5/D6,0.0995,-0.655,non-DEG,WNT16,
ENSG00000002919,D5/D6,1.84E-05,-0.805,non-DEG,SNX11,
ENSG00000003056,D5/D6,0.0162,0.18,non-DEG,M6PR,
ENSG00000003096,D5/D6,2.15E-05,-2.028,down-regulate,KLHL13,
ENSG00000003147,D5/D6,0.022,0.542,non-DEG,ICA1,
ENSG00000003249,D5/D6,0.309,-0.206,non-DEG,DBNDD1,
ENSG00000003393,D5/D6,0.0163,-0.196,non-DEG,ALS2,
ENSG00000003402,D5/D6,8.57E-09,-0.963,down-regulate,CFLAR,
ENSG00000003987,D5/D6,0.536,0.086,non-DEG,MTMR7,
ENSG00000004059,D5/D6,0.0249,0.168,non-DEG,ARF5,
ENSG00000004142,D5/D6,0.00105,0.244,non-DEG,POLDIP2,
ENSG00000004399,D5/D6,5.33E-05,1.116,up-regulate,PLXND1,
ENSG00000004455,D5/D6,9.30E-06,0.465,non-DEG,AK2,
ENSG00000004468,D5/D6,2.05E-05,-0.391,non-DEG,CD38,
ENSG00000004478,D5/D6,0.0717,0.095,non-DEG,FKBP4,
ENSG00000004487,D5/D6,8.80E-06,0.665,non-DEG,KDM1A,
ENSG00000004534,D5/D6,0.0217,-0.234,non-DEG,RBM6,
ENSG00000004660,D5/D6,0.000247,0.729,non-DEG,CAMKK1,
ENSG00000004777,D5/D6,0.0426,-0.282,non-DEG,ARHGAP33,
ENSG00000004864,D5/D6,0.113,0.122,non-DEG,SLC25A13,
ENSG00000004866,D5/D6,7.44E-07,0.839,non-DEG,ST7,
ENSG00000004975,D5/D6,0.00941,0.188,non-DEG,DVL2,
ENSG00000005007,D5/D6,0.0168,-0.161,non-DEG,UPF1,
ENSG00000005022,D5/D6,0.000437,0.444,non-DEG,SLC25A5,
ENSG00000005075,D5/D6,0.079,-0.148,non-DEG,POLR2J,
ENSG00000005100,D5/D6,1.59E-05,0.592,non-DEG,DHX33,
ENSG00000005156,D5/D6,0.00772,0.222,non-DEG,LIG3,
ENSG00000005175,D5/D6,0.00475,0.274,non-DEG,RPAP3,
ENSG00000005187,D5/D6,0.00168,-0.398,non-DEG,ACSM3,
ENSG00000005189,D5/D6,0.00138,-0.697,non-DEG,REXO5,
ENSG00000005238,D5/D6,0.0186,-0.532,non-DEG,FAM214B,
ENSG00000005243,D5/D6,0.00853,-0.44,non-DEG,COPZ2,
